station,date,depth_m,parameter,value,depth.measurement,datasource,sitetype,do_flag,flag
100,2001-09-17,9,temp_C,19.2,actual,LMP DO,littoral,NA,NA
100,2001-08-21,2,DO_pctsat,89.8,actual,LMP DO,littoral,NA,NA
100,2001-08-21,1,DO_pctsat,89.1,actual,LMP DO,littoral,NA,NA
100,2001-08-21,0.5,DO_pctsat,0,actual,LMP DO,littoral,NA,NA
100,2001-09-17,9,DO_mgl,8.5,actual,LMP DO,littoral,NA,NA
100,2001-08-21,14,DO_mgl,5.1,actual,LMP DO,littoral,NA,NA
100,2001-08-21,3,DO_pctsat,90.2,actual,LMP DO,littoral,NA,NA
100,2001-09-17,8,temp_C,19.3,actual,LMP DO,littoral,NA,NA
100,2001-08-21,12,DO_mgl,8.8,actual,LMP DO,littoral,NA,NA
100,2001-08-21,11,DO_mgl,9.6,actual,LMP DO,littoral,NA,NA
100,2001-08-21,10,DO_mgl,9.7,actual,LMP DO,littoral,NA,NA
100,2001-08-21,8,DO_mgl,9.6,actual,LMP DO,littoral,NA,NA
100,2001-08-21,7,DO_mgl,8.2,actual,LMP DO,littoral,NA,NA
100,2001-08-21,6,DO_mgl,7.6,actual,LMP DO,littoral,NA,NA
100,2001-08-21,13,DO_pctsat,73.1,actual,LMP DO,littoral,NA,NA
100,2001-08-21,12,DO_pctsat,79,actual,LMP DO,littoral,NA,NA
100,2001-08-21,10,DO_pctsat,91.8,actual,LMP DO,littoral,NA,NA
100,2001-08-21,9,DO_pctsat,94.4,actual,LMP DO,littoral,NA,NA
100,2001-08-21,8,DO_pctsat,102.2,actual,LMP DO,littoral,NA,NA
100,2001-08-21,7,DO_pctsat,94.2,actual,LMP DO,littoral,NA,NA
100,2001-08-21,6,DO_pctsat,89.3,actual,LMP DO,littoral,NA,NA
100,2001-08-21,14,temp_C,9.6,actual,LMP DO,littoral,NA,NA
100,2001-08-21,13,temp_C,10,actual,LMP DO,littoral,NA,NA
100,2001-08-21,12,temp_C,10.4,actual,LMP DO,littoral,NA,NA
100,2001-08-21,11,temp_C,11.7,actual,LMP DO,littoral,NA,NA
100,2001-08-21,10,temp_C,13.1,actual,LMP DO,littoral,NA,NA
100,2001-08-21,9,temp_C,14.8,actual,LMP DO,littoral,NA,NA
100,2001-08-21,8,temp_C,18.2,actual,LMP DO,littoral,NA,NA
100,2001-09-17,6,DO_mgl,8.5,actual,LMP DO,littoral,NA,NA
100,2001-08-21,9,DO_mgl,9.6,actual,LMP DO,littoral,NA,NA
100,2001-09-17,4,DO_mgl,8.5,actual,LMP DO,littoral,NA,NA
100,2001-09-17,3,DO_mgl,8.5,actual,LMP DO,littoral,NA,NA
100,2001-09-17,2,DO_mgl,8.5,actual,LMP DO,littoral,NA,NA
100,2001-09-17,1,DO_mgl,8.5,actual,LMP DO,littoral,NA,NA
100,2001-09-17,0.5,DO_mgl,8.4,actual,LMP DO,littoral,NA,NA
100,2001-08-21,11,DO_pctsat,88,actual,LMP DO,littoral,NA,NA
100,2001-09-17,6,temp_C,19.4,actual,LMP DO,littoral,NA,NA
100,2001-09-17,5,temp_C,19.5,actual,LMP DO,littoral,NA,NA
100,2001-09-17,4,temp_C,19.5,actual,LMP DO,littoral,NA,NA
100,2001-08-21,7,temp_C,22.6,actual,LMP DO,littoral,NA,NA
100,2001-08-21,6,temp_C,23.3,actual,LMP DO,littoral,NA,NA
100,2001-08-21,5,temp_C,23.4,actual,LMP DO,littoral,NA,NA
100,2001-08-21,4,temp_C,23.4,actual,LMP DO,littoral,NA,NA
100,2001-08-21,3,temp_C,23.4,actual,LMP DO,littoral,NA,NA
100,2001-08-21,2,temp_C,23.5,actual,LMP DO,littoral,NA,NA
100,2001-08-21,1,temp_C,23.6,actual,LMP DO,littoral,NA,NA
100,2001-08-21,5,DO_mgl,7.7,actual,LMP DO,littoral,NA,NA
100,2001-08-21,4,DO_mgl,7.7,actual,LMP DO,littoral,NA,NA
100,2001-08-21,3,DO_mgl,7.7,actual,LMP DO,littoral,NA,NA
100,2001-08-21,2,DO_mgl,7.6,actual,LMP DO,littoral,NA,NA
