date,stream_no,TP_mmolm3,TN_mmolm3,DOC_mmolm3,flag,source
2014-09-08,830,0.8394201789056227,NA,NA,NA,LSPA LMP VLAP
2014-09-08,835,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2014-09-08,750,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2014-09-08,760,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2014-08-05,790,0.41971008945281135,NA,NA,NA,LSPA LMP VLAP
2014-08-05,788,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2014-08-04,505,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2014-08-04,510,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2014-08-04,750,0.41971008945281135,NA,NA,NA,LSPA LMP VLAP
2014-08-04,830,0.9685617448911031,NA,NA,NA,LSPA LMP VLAP
2014-08-04,760,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2014-08-04,835,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2014-08-04,670,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2014-08-04,800,0.5165662639419217,NA,NA,NA,LSPA LMP VLAP
2014-08-04,805,0.581137046934662,NA,NA,NA,LSPA LMP VLAP
2014-08-04,540,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2014-07-15,540,0.581137046934662,NA,NA,NA,LSPA LMP VLAP
2014-07-08,510,0.290568523467331,NA,NA,NA,LSPA LMP VLAP
2014-07-08,800,0.6134224384310321,NA,NA,NA,LSPA LMP VLAP
2014-07-08,805,0.6457078299274023,NA,NA,NA,LSPA LMP VLAP
2014-07-08,505,0.22599774047459076,NA,NA,NA,LSPA LMP VLAP
2014-07-07,790,0.548851655438292,NA,NA,NA,LSPA LMP VLAP
2014-07-07,670,0.41971008945281135,NA,NA,NA,LSPA LMP VLAP
2014-07-07,788,0.48428087244555157,NA,NA,NA,LSPA LMP VLAP
2014-07-07,750,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2014-07-07,760,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2014-07-02,835,8.039062482596156,NA,NA,NA,LSPA LMP VLAP
2014-07-02,830,1.162274093869324,NA,NA,NA,LSPA LMP VLAP
2014-06-17,805,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2014-06-17,750,0.16142695748185057,NA,NA,NA,LSPA LMP VLAP
2014-06-17,760,0.6134224384310321,NA,NA,NA,LSPA LMP VLAP
2014-06-17,800,0.6134224384310321,NA,NA,NA,LSPA LMP VLAP
2014-06-16,790,0.48428087244555157,NA,NA,NA,LSPA LMP VLAP
2014-06-16,788,0.6779932214237723,NA,NA,NA,LSPA LMP VLAP
2014-06-09,505,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2014-06-09,510,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2014-06-09,540,0.7425640044165124,NA,NA,NA,LSPA LMP VLAP
2014-06-08,670,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2014-06-03,835,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2014-06-03,830,0.548851655438292,NA,NA,NA,LSPA LMP VLAP
2014-05-14,670,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2014-05-13,510,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2014-05-13,800,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2014-05-13,805,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2014-05-13,540,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2014-05-13,788,0.290568523467331,NA,NA,NA,LSPA LMP VLAP
2014-05-13,790,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2014-05-13,830,0.5165662639419217,NA,NA,NA,LSPA LMP VLAP
2014-05-13,835,0.12914156598548043,NA,NA,BDL,LSPA LMP VLAP
2014-05-13,505,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2013-10-02,760,3.260824541133381,NA,NA,NA,LSPA LMP VLAP
2013-10-02,750,0.5165662639419217,NA,NA,NA,LSPA LMP VLAP
2013-10-01,670,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2013-10-01,505,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2013-09-29,800,0.3874246979564413,NA,NA,NA,LSPA LMP VLAP
2013-09-29,805,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2013-09-25,790,0.548851655438292,NA,NA,NA,LSPA LMP VLAP
2013-09-25,788,0.290568523467331,NA,NA,NA,LSPA LMP VLAP
2013-09-09,670,0.41971008945281135,NA,NA,NA,LSPA LMP VLAP
2013-09-04,805,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2013-09-04,800,0.5165662639419217,NA,NA,NA,LSPA LMP VLAP
2013-09-04,510,0.22599774047459076,NA,NA,NA,LSPA LMP VLAP
2013-09-04,505,0.22599774047459076,NA,NA,NA,LSPA LMP VLAP
2013-09-03,750,0.22599774047459076,NA,NA,NA,LSPA LMP VLAP
2013-09-03,760,1.807981923796726,NA,NA,NA,LSPA LMP VLAP
2013-09-03,830,1.2268448768620641,NA,NA,NA,LSPA LMP VLAP
2013-09-03,835,0.32285391496370114,NA,NA,NA,LSPA LMP VLAP
2013-09-02,540,0.7425640044165124,NA,NA,NA,LSPA LMP VLAP
2013-09-02,790,0.7425640044165124,NA,NA,NA,LSPA LMP VLAP
2013-09-02,788,0.8394201789056227,NA,NA,NA,LSPA LMP VLAP
2013-08-12,835,0.6457078299274023,NA,NA,NA,LSPA LMP VLAP
2013-08-12,830,1.0008471363874734,NA,NA,NA,LSPA LMP VLAP
2013-08-05,805,0.548851655438292,NA,NA,NA,LSPA LMP VLAP
2013-08-05,505,0.290568523467331,NA,NA,NA,LSPA LMP VLAP
2013-08-05,510,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2013-08-05,540,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2013-08-05,800,0.48428087244555157,NA,NA,NA,LSPA LMP VLAP
2013-08-05,670,0.4519954809491815,NA,NA,NA,LSPA LMP VLAP
2013-08-04,790,0.6134224384310321,NA,NA,NA,LSPA LMP VLAP
2013-08-04,788,0.48428087244555157,NA,NA,NA,LSPA LMP VLAP
2013-07-30,760,0.41971008945281135,NA,NA,NA,LSPA LMP VLAP
2013-07-30,750,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2013-07-09,830,1.5496987918257652,NA,NA,NA,LSPA LMP VLAP
2013-07-09,540,0.548851655438292,NA,NA,NA,LSPA LMP VLAP
2013-07-09,835,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2013-07-09,510,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2013-07-09,505,0.25828313197096087,NA,NA,NA,LSPA LMP VLAP
2013-07-08,805,0.7425640044165124,NA,NA,NA,LSPA LMP VLAP
2013-07-08,800,0.581137046934662,NA,NA,NA,LSPA LMP VLAP
2013-07-08,670,0.6134224384310321,NA,NA,NA,LSPA LMP VLAP
2013-07-07,790,0.548851655438292,NA,NA,NA,LSPA LMP VLAP
2013-07-07,788,4.035673937046264,NA,NA,NA,LSPA LMP VLAP
2013-07-02,760,0.290568523467331,NA,NA,NA,LSPA LMP VLAP
2013-07-02,750,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2013-06-05,760,0.35513930646007114,NA,NA,NA,LSPA LMP VLAP
2013-06-05,835,0.19371234897822065,NA,NA,NA,LSPA LMP VLAP
2013-06-05,830,0.7748493959128826,NA,NA,NA,LSPA LMP VLAP
