FID,OBJECTID,COV_ID,STANO,STATIONID,ALIASID,STATNAME,TOWN,ADDRESS,COUNTY,STATE,STATDESCR,STATTYPE,WBDY_ID,WBDY_NAME,ACTIVE,WELLUSAGE,WATVAPUSE,STRATATYPE,AUVERIFIED,ProjIDs,LONGITUDE,LATITUDE
44,74,4622.000000000000000,5779.000000000000000,MORSPRD, ,MORGAN POND-DEEP SPOT,SPRINGFIELD, ,SULLIVAN,NH,DEEP SPOT,LAKE/POND,NHLAK801060402-10,MORGAN POND,NO, , , ,Y,:VLAP:LKTROPH:,-72.018100000000004,43.475889000000002
45,75,4623.000000000000000,5780.000000000000000,MORSPR-GEN, ,MORGAN POND-GENERIC,SPRINGFIELD, ,SULLIVAN,NH,GENERIC,LAKE/POND,NHLAK801060402-10,MORGAN POND,NO, , , ,Y,:VLAP:LKTROPH:,-72.017799999999994,43.475889000000002
46,76,4624.000000000000000,5781.000000000000000,MORSPRO, ,MORGAN POND-OUTLET,SPRINGFIELD, ,SULLIVAN,NH,OUTLET,RIVER/STREAM,NHRIV801060402-02,NORTH BRANCH SUGAR RIVER,NO, , , ,Y,:VLAP:,-72.015600000000006,43.474888999999997
47,80,4713.000000000000000,5800.000000000000000,MOUSUN103, ,MOUNTAINVIEW LAKE-HAMEL BK AT 103,SUNAPEE, ,SULLIVAN,NH,HAMEL BK AT 103 WAS TIED TO NHRIV801060402-27 NOW NHRIV801060402-57.,RIVER/STREAM,NHRIV801060402-57,HAMEL BROOK,YES, , , ,Y,:VLAP:,-72.092889000000000,43.345111000000003
48,81,4714.000000000000000,5801.000000000000000,MOUSUND, ,MOUNTAINVIEW LAKE-DEEP SPOT,SUNAPEE, ,SULLIVAN,NH,DEEP SPOT,LAKE/POND,NHLAK801060402-11,MOUNTAINVIEW LAKE,YES, , , ,Y,:VLAP_LKTREND:VLAP:LKTROPH:,-72.077799999999996,43.343193999999997
49,82,4715.000000000000000,5802.000000000000000,MOUSUN-GEN, ,MOUNTAINVIEW LAKE-GENERIC,SUNAPEE, ,SULLIVAN,NH,GENERIC,LAKE/POND,NHLAK801060402-11,MOUNTAINVIEW LAKE,YES, , , ,Y,:VLAP:LKTROPH:,-72.079899999999995,43.345889000000000
50,83,4716.000000000000000,5803.000000000000000,MOUSUNHB, ,MOUNTAINVIEW LAKE-HAMEL BROOK,SUNAPEE, ,SULLIVAN,NH,HAMEL BROOK - WAS TIED TO NHRIV801060402-27 NOW NHRIV801060402-57,RIVER/STREAM,NHRIV801060402-57,HAMEL BROOK,YES, , , ,Y,:VLAP:,-72.087374999999994,43.345725000000002
51,84,4717.000000000000000,5804.000000000000000,MOUSUNHC, ,MOUNTAINVIEW LAKE-HANSE CHASE RD BROOK,SUNAPEE, ,SULLIVAN,NH,HANSON CHASE RD BROOK,RIVER/STREAM,NHRIV801060402-27,NORTH BROOK - TO MOUNTAINVIEW LAKE,YES, , , ,Y,:VLAP:,-72.085599999999999,43.346693999999999
52,85,4718.000000000000000,5805.000000000000000,MOUSUNM, ,MOUNTAINVIEW LAKE-MUD PD BROOK,SUNAPEE, ,SULLIVAN,NH,MUD PD BROOK,RIVER/STREAM,NHRIV801060402-59,MUD POND BROOK,YES, , , ,Y,:VLAP:,-72.079300000000003,43.349694000000000
53,86,4719.000000000000000,5806.000000000000000,MOUSUNO,SUNSUN6705,MOUNTAINVIEW LAKE-OUTLET,SUNAPEE, ,SULLIVAN,NH,OUTLET,RIVER/STREAM,NHRIV801060402-29,JOHNSON BROOK,YES, , , ,Y,:VLAP:,-72.074500000000000,43.344889000000002
54,87,4720.000000000000000,5807.000000000000000,MOUSUNR, ,MOUNTAINVIEW LAKE-ROUTE 103 INLET,SUNAPEE, ,SULLIVAN,NH,ROUTE 103 INLET,RIVER/STREAM,NHRIV801060402-58,MOUNTAINVIEW LAKE-ROUTE 103 INLET,YES, , , ,Y,:VLAP:,-72.078236000000004,43.341436000000002
55,93,4870.000000000000000,5090.000000000000000,GOONWLD, ,GOOSE POND-DEEP SPOT,NEW LONDON, ,MERRIMACK,NH,DEEP SPOT,LAKE/POND,NHLAK801060402-07,GOOSE POND,YES, , , ,Y,:VLAP:LKTROPH:,-72.042900000000003,43.431389000000003
56,94,4871.000000000000000,5091.000000000000000,GOONWL-GEN, ,GOOSE POND-GENERIC,NEW LONDON, ,MERRIMACK,NH,GENERIC,LAKE/POND,NHLAK801060402-07,GOOSE POND,NO, , , ,Y,:LKTROPH:,-72.043000000000006,43.431583000000003
57,108,5247.000000000000000,6642.000000000000000,SUNSUN788, ,SUNAPEE LAKE-788,SUNAPEE, ,SULLIVAN,NH,"788.0 BLODGETT BROOK SOUTH BRANCH
NEWBURY
INTERPOLATION COORDINATES LOCATED 4/26/2004 -  43.369461; -72.038703",RIVER/STREAM,NHRIV801060402-24,BLODGETT BROOK,YES, , , ,Y,:VLAP:,-72.038765999999995,43.369247000000001
58,109,5249.000000000000000,6645.000000000000000,SUNSUN805, ,SUNAPEE LAKE-805,SUNAPEE, ,SULLIVAN,NH,"805.0 KING HILL BROOK
NEW LONDON
INTERPOLATION COORDINATES LOCATED 4/26/2004 - 43.388972; -72.040633",RIVER/STREAM,NHRIV801060402-22,PIKE BROOK - TO SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.038166000000004,43.388148000000001
59,110,5250.000000000000000,6647.000000000000000,SUNSUN830, ,SUNAPEE LAKE-830,SUNAPEE, ,SULLIVAN,NH,"830.0 HERRICK COVE SOUTH (COLUMBUS AVENUE)
NEW LONDON
INTERPOLATION COORDINATES LOCATED 4/26/2004 -  43.409414; -72.030706",RIVER/STREAM,NHRIV801060402-18,HERRICK COVE BROOK - TO SUNAPEE LAKE,YES, , , ,Y,:VLAP:,-72.030726000000001,43.409202000000001
