"DateTime","Depth","TOT_tp"
"2006-10-09",13,0.161426754224538
"2006-09-11",20,0.161426754224538
"2006-09-11",4,0.161426754224538
"2006-09-11",10,0.193712105069446
"2006-07-24",3,0.193712105069446
"2006-07-24",10,0.193712105069446
"2006-07-24",20,0.161426754224538
"2006-07-05",3,0.161426754224538
"2006-07-05",8,0.193712105069446
"2006-07-05",17,0.161426754224538
"2006-05-31",6,0.193712105069446
"2006-05-31",2,0.193712105069446
"2006-05-31",17,0.161426754224538
"2005-09-14",4,0.0968560525347229
"2005-09-14",21,0.161426754224538
"2005-09-14",10,0.161426754224538
"2005-08-22",3,0.161426754224538
"2005-08-22",9,0.225997455914353
"2005-08-22",20,0.161426754224538
"2005-07-25",7,0.193712105069446
"2005-07-25",2,0.0968560525347229
"2005-07-25",18,0.225997455914353
